tick,time_s,blue-0_team,blue-0_profile,blue-1_team,blue-1_profile,blue-2_team,blue-2_profile,orange-0_team,orange-0_profile,orange-1_team,orange-1_profile,orange-2_team,orange-2_profile
13368,111.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13376,111.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13384,111.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13392,111.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13400,111.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13408,111.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13416,111.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13424,111.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13432,111.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13440,112.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13448,112.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13456,112.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13464,112.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13472,112.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13480,112.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13488,112.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13496,112.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13504,112.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13512,112.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13520,112.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13528,112.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13536,112.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13544,112.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13552,112.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13560,113.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13568,113.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13576,113.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13584,113.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
